id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
1,Global Master of Business Administration,24,University of Hull,6000,2.2,0,0,0
2,Business Analytics,12,Queen Mary University of London,31850,2.1,7,1,1
3,Cyber Security and Digital Forensics,24,University of Portsmouth,10500,2.2,6,0,0
4,Medical Ultrasound,36,University of the West of England (UWE Bristol),1400,1,6.5,1,1
5,Applied Economics (Banking and Financial Markets) online,30,University of Bath Online,5200,2.2,6.5,1,1
6,Photography,24,Falmouth University Flexible Learning,6075,0,6.5,0,1
7,Dental Materials,12,Queen Mary University of London,28900,2.2,6.5,1,1
8,International Banking and Finance Law,12,University of the West of England (UWE Bristol),15500,2.2,6.5,0,1
9,Business with Marketing,12,Warwick Business School,32250,2.1,7,0,1
10,Photography,24,Arts University Bournemouth,9900,2.2,0,1,0
11,Supply Chain Management,24,University of Central Lancashire (UCLan),4274,2.2,0,0,0
12,Global Financial Management,12,University of Roehampton,17850,2.1,6.5,0,1
13,Marketing,9,The University of Exeter,29500,2.2,7,1,1
14,Digital Marketing,12,Queen Mary University of London,31850,2.1,7,1,0
15,Curating,12,University of the West of England (UWE Bristol),16000,0,0,0,1
16,Business Analytics online,27,University of Bath Online,6666,2.2,7,1,1
17,Business Analytics,12,Warwick Business School,33000,2.1,7,1,1
18,Commercial Law,12,University of the West of England (UWE Bristol),15500,2.2,6.5,0,1
19,Creative Writing,24,Arts University Bournemouth,9900,2.2,0,1,1
20,International Marketing and Consumer Psychology,12,Queen Mary University of London,31850,2.1,7,1,0
21,Project Management for Construction,24,University of Portsmouth,10500,0,0,0,1
22,Healthcare Leadership,24,University of Hull,4900,2.2,6,0,1
23,Business Analytics,12,The University of Exeter,29500,2.1,6.5,0,1
24,Building Information Modelling (BIM) in Design Construction and Operations,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,0
25,Supply Chain and Logistics Analytics,12,Queen Mary University of London,31850,2.1,7,1,1
26,Marketing and Strategy,12,Warwick Business School,32250,2.1,7,1,1
27,Master of Business Administration,12,London Metropolitan University,18150,2.2,6,0,1
28,Cyber Security,12,University of Roehampton,17325,2.2,6.5,1,1
29,Logistics and Supply Chain Management,24,University of Hull,4900,2.2,6,1,0
30,Commercial Law,12,The University of Exeter,24300,2.2,6.5,0,1
31,Applied Public Health,24,University of Central Lancashire (UCLan),4274,2.2,6.5,0,1
32,Accounting and Finance,12,Warwick Business School,38000,2.1,7,0,1
