Domain,Uni Name,Description
"Film, Science Fiction and Fantasy",Richmond American University in London,"5,261,337 PKR / year
1 year
The Film, Science Fiction and Fantasy programme from Richmond American University in London combines the study of film and television with filmmaking practice and is the only Film MA in the UK in which you will graduate with both a UK and US postgraduate degree."
Creative Writing,University of Hull,"1,859,006 PKR / year
2 years
Transform your passion for reading into the ability to produce prose worthy of public recognition with the Creative Writing programme from University of Hull Online."
Dental Science for Clinical Practice,Queen Mary University of London,"12,118,033 PKR / year
1 year
This Dental Science for Clinical Practice MSc programme offered at Queen Mary University of London is designed to prepare internationally qualified dental graduates for practice in the UK."
Women's Health,Learna,"1,688,538 PKR / year
2 years
The Women's Health programme from Learna will give you a better understanding of women's health, allowing you to apply your knowledge of women's health to your clinical practice."
Master of Business Administration,Exeed College,"2,719,898 PKR / year
1 year
The one-year Plymouth Master of Business Administration programme from Exeed College equips the learners to become resilient, sustainable organizational trail blazers by obtaining UK-recognized qualifications from Plymouth Marjon University and Diploma from Scottish Qualification Authority."
Global Digital Marketing,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Global Digital Marketing Postgrad.Dip programme from University of Essex Online introduces you to a variety of crucial strategies to promote products and services and the underlying theory behind them."
"Innovation, Technology and the Law (Online Learning)",The University of Edinburgh,"8,663,668 PKR / year
1 year
This Innovation, Technology and the Law (Online Learning) programme from The University of Edinburgh explores how the law responds to, regulates and promotes new and emerging technologies."
Clinical Neuroscience,University of Roehampton,"6,076,844 PKR / year
1 year
Get the specialist, practical skills you need to play a part in advancing our understanding of the brain and nervous system with this cutting-edge MSc Clinical Neuroscience program from University of Roehampton"
Entrepreneurship Management and Innovation online,University of Bath Online,"2,338,138 PKR / year
2 years, 3 months
This Entrepreneurship Management and Innovation online MSc degree from the University of Bath provides exciting new perspectives on traditional business disciplines, setting in motion a journey of lifelong enterprise."
Sports Management,The University of Exeter,"10,417,448 PKR / year
1 year
Throughout the Sports Management MSc programme from The University of Exeter, you'll explore a wide array of crucial current concepts in Sports Management from a powerful, multi-disciplinary perspective"
Robotics and Autonomous Systems Engineering,Edinburgh Napier University,"5,994,417 PKR / year
1 year
Become an expert in the fast-evolving world of Robotics, and equip yourself for a job in the industry of the future with this Robotics and Autonomous Systems Engineering programme from Edinburgh Napier University."
Business with Finance,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Business with Finance Postgrad.Dip from University of Essex Online also allows you to develop more general skills that will assist in other areas of your personal and professional life, such as communication, time management and innovative thinking."
International Business,Warwick Business School,"11,311,875 PKR / year
1 year
Gain the skills and knowledge needed to do business in a global context, ready to confidently take on industry challenges across the world with the International Business MSc from the the University of Warwick"
Sports and Exercise Medicine,Learna,"1,788,855 PKR / year
2 years
The Sports and Exercise Medicine programme from Learna is designed to be practical and clinically focused."
Management with Tourism and Hospitality (Professional Practice),University of Huddersfield,"6,559,134 PKR / year
1½ year
The M.Sc. in Management with Tourism and Hospitality (Professional Practice) at University of Huddersfield offers a wide and flexible range of options and is an excellent opportunity for those from a variety of backgrounds to acquire awareness and insight into professional management principles and practice."
Cyber Security,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Cyber Security Postgrad.Dip from University of Essex Online explores the key trends within this high-demand field, developing your technical and practical skills to deal with the range of cyber security issues that can arise within an organisation."
Entrepreneurship,Richmond American University in London,"8,028,800 PKR / year
1 year
The Entrepreneurship programme from Richmond American University in London will provide all the core business and financial knowledge and skills you need, combined with a five week entrepreneurial study abroad course in the heart of Silicon Valley, USA, at Draper University, where you will be given the opportunity to pitch your business idea direct to potential investors."
Public Health,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This Public Health MPH degree from University of Liverpool Online Programmes  is internationally respected for its multidisciplinary focus and commitment to the World Health Organization’s (WHO) “Health for All” principles."
Organisational Psychology,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Organisational Psychology Postgrad.Dip from University of Essex Online is an employability focused programme that includes varied and applied assessment activities to help you build real-world workplace skills."
International Business Administration - Extended,University of Wolverhampton,"5,962,849 PKR / year
1 year
The MBA in International Business Administration - Extended from University of Wolverhampton enables entry onto the International Masters Business Administration if you did not gain a first or second class honours at degree level (or equivalent)."
Accounting and Finance,Kingston University,"6,629,285 PKR / year
1 year
Accounting and Finance course at Kingston University is ideal if you aspire to a career in financial management, accountancy or corporate treasury."
International Business Law,University of Essex Online,"2,179,597 PKR / year
2 years
This International Business Law LL.M course from University of Essex Online will provide a thorough grounding in the relevant legal topics for those who simply want to gain further understanding of the nature of international business law."
International Human Resource Management,University of Essex Online,"1,453,181 PKR / full
8 months
Within this International Human Resource Management Postgrad.Cert course from University of Essex Online, you will explore the key factors and considerations around strategic development and recruitment goals. This will enable you to deliver effective and efficient human resource management within your company."
Interior Design,Arts University Bournemouth,"1,490,712 PKR / year
2 years
Innovative interior designers who can think outside of the box and rise to the challenges of changing contemporary living needs are in high demand. This part-time, fully-online MA Interior Design from Arts University of Bournemouth Online (AUB) will equip you with the specialist knowledge and skills you need to firmly establish yourself as a confident and successful professional interior designer."
International Commercial Law and Practice (Online Learning),The University of Edinburgh,"8,663,668 PKR / year
1 year
This International Commercial Law and Practice (Online Learning) programme from The University of Edinburgh aims to provide you with a deeper understanding of how international commercial law operates in practice."
Healthcare Leadership,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This Healthcare Leadership MSc programme from University of Liverpool Online Programmes will develop your understanding of robust and effective management principles and give you the confidence to put them into practice."
Applied Economics (Banking and Financial Markets) online,University of Bath Online,"1,823,930 PKR / year
2½ years
This Applied Economics online MSc degree from the University of Bath cuts through the abstract to focus on how economics works in the real world. You’ll learn from big names in the field and receive cutting-edge software training that enables you to mine and analyse complex data."
Global MBA Data Analytics,London School of Business and Finance,"2,104,535 PKR / year
1½ year
It's your Global MBA. Join the Global MBA Data Analytics programme from London School of Business and Finance."
Dementia,University of Hull,"1,859,006 PKR / year
2 years
Critically challenge common perceptions of dementia as a diagnosis solely of loss and despair. Focus on human rights, dignity and care provision. Learn what it means to live well with dementia with this Dementia program from University of Hull Online."
Artificial Intelligence,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This Artificial Intelligence MSc programme from University of Liverpool Online Programmes is designed to develop your skillset within this area, cultivating your practical skills and developing programming techniques, which will enable you to work effectively within the complex field of AI."
Project Management,London Metropolitan University,"6,559,134 PKR / year
1 year
This Project Management, M.Sc programme from London Metropolitan University is designed so you can grow your knowledge and expertise in all aspects of project management, from devising strategies to kickstart a project to analysing business goals, controlling resources, onboarding project stakeholders, and successful project delivery."
Social Policy,University of Central Lancashire (UCLan),"1,499,130 PKR / year
2 years
If you want to explore acute issues like poverty and inequality while growing your career, this Online MA is for you!"
Academic Practice,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This Academic Practice MA programme from University of Liverpool Online Programmes has been designed for students from both teaching and non-teaching backgrounds in higher education (HE) to provide an opportunity to enhance their academic practice, academic leadership and ability to support learning and teaching in a global context."
Artificial Intelligence,University of Essex Online,"1,453,181 PKR / full
8 months
Within this Artificial Intelligence PG Cert  programme from University of Essex Online discover the past, present and future of artificial intelligence (AI). Develop your programming skills and dive into the in-demand field of AI."
Information Systems Management,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This Information Systems Management MSc programme from University of Liverpool Online Programmes aims to provide you will with the knowledge and skills to take up strategic innovation management and leadership roles within the Information Technology and Systems field."
